||2|902 146202|black
173|170,198692,709856,778213,2433982,22016441,26999667|5|902 899 779 217 170|black
1733010||10|902 899 779 217 210 249 323 125 330 519|gray
1733532||9|902 899 779 217 210 249 323 320 322|black
17359655||5|902 899 779 217 245|black
1737823||6|902 899 779 217 219 286|black
1738373||6|902 899 779 217 210 249|black
1742||8|902 899 779 217 210 249 323 325|black
1743944||6|902 899 779 217 210 249|black
174960||4|902 899 779 364|black
175||5|902 899 779 217 170|black
175148||10|902 899 779 217 210 249 323 125 466 180|gray
175202||10|902 899 779 217 210 249 323 125 466 180|gray
1754||6|902 899 779 364 176 371|black
176|101,167,364,371,7482,22508,35226,148391,174960,190382,225508,229534,311468,321400,342931,355557,355587,378562,398120,398611,399859,402192,436462,445116,462635,462816,476364,487421,525933,547876,564064,597895,625450,736598,742348,743712,781140,798985,802823,913030,928000,1051568,1075198,1091010,1164781,1175744,1194877,1285753,1428226,1459690,1478406,1556722,1570813,1574376,1588142,1599093,1644372,1696480,1722793,1899383,1941146,1943426,2238010,2259385,2289542,2348171,2393431,2404190,2470238,2484499,2518168,3784811,3837027,6282851,9746169,18127413,19476451,21312971|4|902 899 779 364|black
176490||8|902 899 779 217 210 249 323 325|black
17650086||6|902 899 779 217 298 444|black
17667473||4|902 899 779 364|black
17727941||6|902 899 779 217 261 881|black
177311||9|902 899 779 217 210 249 323 125 937|black
1773890||6|902 899 779 810 921 950|black
17797||8|902 899 779 217 210 249 323 325|black
17839005||6|902 899 779 810 921 917|black
17853||7|902 899 779 217 210 249 323|black
1786599||5|902 899 779 217 245|black
178940||10|902 899 779 217 210 249 323 125 466 945|gray
17895||7|902 899 779 810 921 917 897|black
179|3971,219682,422725,510458,863816,1468633,1605579|9999||white
17904||6|902 899 779 217 170 349|black
180|101,373,437,466,619,623,856,937,945,1443,1526,1742,1947,2429,3094,8663,8996,11494,20526,42351,42395,61528,63733,93647,104875,125553,175148,175202,212586,275834,309831,347218,593551,610131,879634,907792,930165,950378,1081688,1619934,2022418,2026974,2132052,4759678,5002030,5548220,7357932,9717371,10157768,11161064,13670616,14476676,15127758,15127825,15323141,15334718,23960761,33935618|9|902 899 779 217 210 249 323 125 466|black
1800||5|902 899 779 217 215|black
1806586||5|902 899 779 364 441|black
1809||9|902 899 779 217 210 249 323 125 466|black
181|101,102,786,792|9999||white
1811661||7|902 899 779 364 912 484 569|black
18127413||5|902 899 779 364 176|black
18163||9|902 899 779 217 210 249 323 320 328|black
1817||8|902 899 779 217 210 249 323 125|black
18173663||4|902 899 779 217|black
182|101,705,718,828,831,832,1359,196231,973212,1415193,6715450,6885107,8375361,23910493|9999||white
182519||6|902 899 779 217 305 458|black
18283313||7|902 899 779 217 170 349 113|black
182881||7|902 899 779 364 912 484 569|black
1829658||4|902 899 779 364|black
1829782||5|902 899 779 217 219|black
183|114,185,431739,2243381,12193958,19974022|9999||white
1831109||6|902 899 779 810 921 924|black
18396235||6|902 899 779 810 921 924|black
1839939||8|902 899 779 217 210 249 323 320|black
1841||9|902 899 779 217 210 249 323 125 466|black
1841092||6|902 899 779 364 912 484|black
18434803||6|902 899 779 217 298 444|black
1844635||8|902 899 779 217 210 249 323 325|black
18449866||8|902 899 779 217 170 349 113 112|black
1845||9|902 899 779 217 210 249 323 125 466|black
1846||7|902 899 779 810 921 917 903|black
1846469||6|902 899 779 217 219 286|black
1846568||6|902 899 779 217 245 494|black
185|114,175,183,192,194,483,463016,777284,1190319,23144912|9999||white
1851||6|902 899 779 217 170 806|black
185156||6|902 899 779 217 170 349|black
1852088||9|902 899 779 217 210 249 323 125 937|black
18531||9|902 899 779 217 210 249 323 125 937|black
1856349||10|902 899 779 217 210 249 323 125 466 945|gray
1858218||5|902 899 779 217 334|black
1862680||6|902 899 779 364 912 484|black
186303||4|902 899 779 364|black
186545||7|902 899 779 810 921 917 897|black
187||5|902 899 779 217 170|black
18708240||5|902 899 779 810 921|black
1873872||6|902 899 779 217 245 494|black
187605||9|902 899 779 217 210 249 323 125 466|black
1876741||6|902 899 779 217 245 494|black
188|187,830|7|902 899 779 217 170 691 830|black
1880004||4|902 899 779 795|black
18813||6|902 899 779 810 921 924|black
188418||8|902 899 779 217 210 249 323 325|black
1885993||4|902 899 779 780|black
1890||6|902 899 779 810 921 917|black
1891760||5|902 899 779 217 210|black
1892||6|902 899 779 364 912 484|black
18925224||6|902 899 779 217 245 494|black
1893035||6|902 899 779 364 176 371|black
1893571||4|902 899 779 810|black
18945||8|902 899 779 217 210 249 323 320|black
189533||7|902 899 779 217 170 349 297|black
189547||9|902 899 779 217 210 249 323 125 937|black
189678||6|902 899 779 217 245 255|black
189881||5|902 899 779 364 441|black
1899383||5|902 899 779 364 176|black
190|187,8637|9999||white
190382||5|902 899 779 364 176|black
190470||10|902 899 779 217 210 249 323 125 330 331|gray
1904905||3|902 899 779|black
190608||6|902 899 779 217 210 249|black
190676||9|902 899 779 217 210 249 323 125 466|black
1907||4|902 899 779 810|black
191||6|902 899 779 217 170 349|black
19100817||7|902 899 779 217 209 239 244|black
1913142||6|902 899 779 217 245 494|black
191742||7|902 899 779 217 170 349 297|black
1918100||10|902 899 779 217 210 249 323 125 330 331|gray
191989||4|902 899 779 810|black
192063||7|902 899 779 217 170 349 297|black
192071||6|902 899 779 810 921 917|black
19208202||5|902 899 779 217 215|black
192112||6|902 899 779 217 219 286|black
1929||9|902 899 779 217 210 249 323 125 466|black
193|192,495,1323241,1415567,2381466,10456604|9999||white
193082||6|902 899 779 810 921 924|black
1931063||8|902 899 779 217 210 249 323 320|black
193253||10|902 899 779 217 210 249 323 125 466 945|gray
193488||4|902 899 779 364|black
193573||4|902 899 779 364|black
1938||8|902 899 779 217 210 249 323 325|black
1941146||5|902 899 779 364 176|black
1941526||4|902 899 779 810|black
1942269||9|902 899 779 217 210 249 323 125 937|black
1942682||9|902 899 779 217 210 249 323 125 326|black
1943426||5|902 899 779 364 176|black
